run_id,company_id,company_name,sector,term,pd_baseline,pd_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002080,Magnitogorskiy Metallurgicheskiy Kombinat PAO,Steel,4,5.754582291324084e-4,0.06307412075378427,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002080,Magnitogorskiy Metallurgicheskiy Kombinat PAO,Steel,5,0.0021182235591953313,0.09334809933013377,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002088,Severstal' PAO,Steel,1,4.5285997174460135e-12,0.01286484115518427,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002088,Severstal' PAO,Steel,2,1.0284240115066012e-6,0.0665740579704448,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002088,Severstal' PAO,Steel,3,6.806431242611932e-5,0.12205247938546737,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002088,Severstal' PAO,Steel,4,5.754582291324084e-4,0.1696531923030764,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002088,Severstal' PAO,Steel,5,0.0021182235591953313,0.20981155827375497,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002151,Colakoglu Metalurji AS,Steel,1,2.7633340060617684e-10,1.0054624910438292e-9,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002151,Colakoglu Metalurji AS,Steel,2,8.079301354602109e-6,1.5479807211837837e-5,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002151,Colakoglu Metalurji AS,Steel,3,2.6969467447035544e-4,4.170865742577634e-4,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002151,Colakoglu Metalurji AS,Steel,4,0.0016182280316058284,0.0022478068838336362,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002151,Colakoglu Metalurji AS,Steel,5,0.004846613281016987,0.006311026660141383,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002453,ArcelorMittal Eisenhuettenstadt GmbH,Steel,1,3.774758283725532e-15,4.743080372904274e-10,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100000002453,ArcelorMittal Eisenhuettenstadt GmbH,Steel,2,3.587794894510665e-8,1.2520705708007895e-5,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
