run_id,company_id,asset_id,company_name,asset_name,sector,technology,net_present_value_baseline,net_present_value_shock,baseline_scenario,target_scenario,scenario_geography,carbon_price_model,risk_free_rate,discount_rate,growth_rate,div_netprofit_prop_coef,shock_year,market_passthrough
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010334,P100000120014-1,InfraBuild Australia Pty Ltd,GFG Liberty Laverton Steel Mill,Steel,EAF-MM,1026945161.7374767,949455124.2516383,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010334,P100000120015-1,InfraBuild Australia Pty Ltd,GFG Liberty Sydney Steel Mill,Steel,EAF-MM,932103080.5580827,861693717.035761,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010335,P100000121170-1,DaehanSteel,DaehanSteel Noksan Steel Plant,Steel,EAF-MM,1421907670.3396518,1314759264.0012996,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010335,P100000121171-1,DaehanSteel,DaehanSteel Sinpyeong Steel Plant,Steel,EAF-MM,853144602.2037909,788855558.4007797,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010336,P100000120957-1,Steel Dynamics Inc,Steel Dynamics Butler plant,Steel,EAF-DRI,0,0,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010336,P100000120958-1,Steel Dynamics Inc,Steel Dynamics Columbia City plant,Steel,EAF-MM,2640575625.9182353,2441401454.0222783,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010336,P100000120959-1,Steel Dynamics Inc,Steel Dynamics Columbus plant,Steel,EAF-MM,4488978564.061001,4150382471.837872,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010336,P100000120972-1,Steel Dynamics Inc,Steel Dynamics Roanoke steel plant,Steel,EAF-MM,810469624.1581464,749255555.2648301,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010336,P100000120973-1,Steel Dynamics Inc,Steel Dynamics Engineered Bar Products steel plant,Steel,EAF-MM,1057848051.5052693,977792896.5103965,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010364,P100000120933-1,SSAB Americas Holding AB,SSAB Americas Alabama steel plant,Steel,EAF-MM,1689468930.8148725,1792177953.6493847,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010364,P100000120934-1,SSAB Americas Holding AB,SSAB Americas Iowa steel plant,Steel,EAF-MM,1637539475.3200293,1725889798.8542495,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010367,P100000120030-1,Thy Marcinelle Sa/Nv,Thy Marcinelle Charleroi steel plant,Steel,EAF-MM,1479308503.4970458,1367834635.0182161,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010370,P100000120479-1,Societe Des Aciers D Armature,Riva Sam Neuves-Maisons steel plant,Steel,EAF-MM,1571765284.965611,1453324299.7068543,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010373,P100000120480-1,Iton Seine SAS,Riva Iton Seine Bonnieres Sur Seine steel plant,Steel,EAF-MM,1017024596.1542184,940386311.575023,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
76b89bb5-358b-4a64-a711-da7c1337cd35,E100001010374,P100000120481-1,Alpa SAS,Riva Alpa Gargenville steel plant,Steel,EAF-MM,1294394940.559915,1196855305.640939,Steel_baseline,Steel_NZ,Global,no_carbon_tax,0.02,0.07,0.03,1,2030,0
